"text","id","likesCount","timestamp","postUrl","ownerUsername"
"The guys will make it 🔥","18007730419938415","1","2023-09-23T21:57:06.000Z","https://www.instagram.com/p/CxjNYjFPD15/","daicartier"
"we got it clutched","18011311702759174","1","2023-09-23T21:57:49.000Z","https://www.instagram.com/p/CxjNYjFPD15/","6dawge"
"These are a lot of conditions lol","18018223195796348","35","2023-09-23T21:58:15.000Z","https://www.instagram.com/p/CxjNYjFPD15/","alecsander.nguyen"
"@hendrix_goodlife NO","18001776821118987","1","2023-09-23T22:03:22.000Z","https://www.instagram.com/p/CxjNYjFPD15/","donthasslethehof31"
"I blacked out trying to do this math","18008591863818371","96","2023-09-23T22:03:26.000Z","https://www.instagram.com/p/CxjNYjFPD15/","reeseradio1"
"My head hurts reading this. Just go win","18382789804025790","24","2023-09-23T22:07:52.000Z","https://www.instagram.com/p/CxjNYjFPD15/","david.campbell1007"
"Let’s just win out the rest of the season so we can get loads of home games, eh?","18009706996898696","3","2023-09-23T22:12:27.000Z","https://www.instagram.com/p/CxjNYjFPD15/","mrsethparker93"
"All the pointless contingencies. Keep it simple","17991150218256578","2","2023-09-23T22:14:21.000Z","https://www.instagram.com/p/CxjNYjFPD15/","vietledinh"
"Yeahhhhhh how about we just focus on one win at a time…","17993244500205584","14","2023-09-23T22:14:26.000Z","https://www.instagram.com/p/CxjNYjFPD15/","angel.zarate22"
"@reeseradio1 😂😂😂","17855875359035890","1","2023-09-23T22:14:53.000Z","https://www.instagram.com/p/CxjNYjFPD15/","officialtoddsmith"
"Not reading all that","18002778704061631","1","2023-09-23T22:14:59.000Z","https://www.instagram.com/p/CxjNYjFPD15/","d_mills14"
"Toooo soon","17994147119055757","0","2023-09-23T22:15:19.000Z","https://www.instagram.com/p/CxjNYjFPD15/","johnnyghost562"
"If 1st is on 2nd and 3rd is on first and 2nd makes it home we are in!","17995966757022385","9","2023-09-23T22:15:54.000Z","https://www.instagram.com/p/CxjNYjFPD15/","officialtoddsmith"
"@officialtoddsmith 🔥😂","18026145310635603","1","2023-09-23T22:16:48.000Z","https://www.instagram.com/p/CxjNYjFPD15/","reeseradio1"
"WIN .. everything else will fall inline🎯","18097301017357888","0","2023-09-23T22:19:24.000Z","https://www.instagram.com/p/CxjNYjFPD15/","warmthfor"
"Keep it simple and use the words of Al Davis “just win, Baby”","18010076920908213","40","2023-09-23T22:23:40.000Z","https://www.instagram.com/p/CxjNYjFPD15/","nfree54"
"So you’re saying there’s a chance","17956244600527691","0","2023-09-23T22:28:07.000Z","https://www.instagram.com/p/CxjNYjFPD15/","alexkarpinski"
"Ok… explain this again as if I’m a 5 year old 😂","17992049948260549","1","2023-09-23T22:29:58.000Z","https://www.instagram.com/p/CxjNYjFPD15/","t_j_joy"
"So you’re saying there’s a chance","17864431748965331","0","2023-09-23T22:33:33.000Z","https://www.instagram.com/p/CxjNYjFPD15/","travisrgordon"
"","18009171829824005","9","2023-09-23T22:45:05.000Z","https://www.instagram.com/p/CxjNYjFPD15/","mixtape615"
"Let’s go with option 3 so stupid Cincinnati can take an L too!","17997195032169710","0","2023-09-23T22:48:10.000Z","https://www.instagram.com/p/CxjNYjFPD15/","stealie12"
"That’s way too many “ifs”","18206325751260228","1","2023-09-23T22:50:03.000Z","https://www.instagram.com/p/CxjNYjFPD15/","charylcatone"
